order_id,number_of_products,avg_actual_delivery_seconds
1014,1,212.0000
1162,1,146.0000
1714,1,176.0000
384,1,199.0000
947,1,182.0000
5,1,120.0000
1157,1,205.0000
2158,1,116.0000
1143,1,75.0000
2009,1,165.0000
1583,1,93.0000
1960,1,43.0000
2102,1,46.0000
40,1,127.0000
297,1,48.0000
1187,1,63.0000
98,1,186.0000
1481,1,76.0000
1796,1,133.0000
501,1,143.0000
841,1,0.0000
921,1,0.0000
938,1,130.0000
826,1,135.0000
207,1,186.0000
2061,1,178.0000
641,1,135.0000
1058,1,80.0000
609,1,273.0000
567,1,52.0000
523,1,160.0000
51,1,71.0000
439,1,117.0000
148,1,80.0000
1993,1,151.0000
1724,1,46.0000
2081,1,38.0000
2101,1,184.0000
1588,1,82.0000
2007,1,36.0000
458,1,34.0000
288,1,29.0000
764,1,0.0000
1602,1,60.0000
416,1,77.0000
2109,1,105.0000
1593,1,115.0000
210,1,74.0000
1618,1,0.0000
479,1,166.0000
101,1,149.0000
1240,1,114.0000
994,1,235.0000
1798,1,0.0000
1770,1,259.0000
141,1,150.0000
867,1,79.0000
776,1,75.0000
2230,1,52.0000
684,1,138.0000
1838,1,59.0000
926,1,0.0000
1441,1,100.0000
1329,1,241.0000
1570,1,47.0000
181,1,48.0000
191,1,177.0000
1374,1,216.0000
399,1,264.0000
1864,1,76.0000
1889,1,335.0000
25,1,164.0000
1594,1,38.0000
1149,1,201.0000
205,1,202.0000
1848,1,182.0000
1144,1,105.0000
279,1,125.0000
189,1,39.0000
92,1,168.0000
156,1,102.0000
1377,1,180.0000
1611,1,111.0000
1223,1,38.0000
1088,1,228.0000
1847,1,0.0000
941,1,14671.0000
119,1,168.0000
1765,1,57.0000
1879,1,280.0000
747,1,52.0000
290,1,68.0000
1950,1,60.0000
659,1,154.0000
552,1,72.0000
564,1,137.0000
959,1,126.0000
1012,1,46.0000
1601,1,81.0000
536,1,60.0000
417,1,148.0000
1352,1,128.0000
1313,1,159.0000
2130,1,39.0000
1825,1,99.0000
1142,1,80.0000
2077,1,36.0000
643,1,-149.0000
1308,1,119.0000
1375,1,106.0000
710,1,137.0000
1356,1,14523.0000
157,1,0.0000
1804,1,60.0000
700,1,123.0000
2108,1,102.0000
851,1,97.0000
220,1,112.0000
1182,1,14538.0000
1640,1,0.0000
1185,1,296.0000
1339,1,146.0000
280,1,80.0000
1910,1,45.0000
2092,1,40.0000
800,1,36.0000
311,1,0.0000
1408,1,180.0000
1867,1,144.0000
1214,1,142.0000
515,1,267.0000
1677,1,34.0000
703,1,119.0000
482,1,82.0000
1289,1,98.0000
1425,1,167.0000
169,1,0.0000
1934,1,85.0000
1128,1,74.0000
2050,1,248.0000
904,1,277.0000
1758,1,261.0000
579,1,117.0000
823,1,69.0000
1216,1,237.0000
731,1,53.0000
865,1,194.0000
1156,1,99.0000
642,1,34.0000
1522,1,45.0000
495,1,156.0000
433,1,103.0000
1603,1,0.0000
719,1,49.0000
298,1,102.0000
104,1,74.0000
161,1,141.0000
2209,1,138.0000
2003,2,39.0000
1036,2,0.0000
2178,2,104.0000
331,2,175.0000
1469,2,0.0000
1427,2,140.0000
418,2,122.0000
506,2,0.0000
1047,2,108.0000
1747,2,111.0000
1999,2,0.0000
233,2,14623.0000
1591,2,181.0000
171,2,144.0000
846,2,145.0000
1366,2,52.0000
1094,2,83.0000
944,2,100.0000
1362,2,134.0000
1368,2,116.0000
627,2,75.0000
179,2,117.0000
2062,2,40.0000
2040,2,196.0000
687,2,49.0000
376,2,129.0000
939,2,158.0000
44,2,228.0000
1737,2,148.0000
1230,2,106.0000
1989,2,185.0000
546,2,143.0000
1620,2,66.0000
263,2,113.0000
1085,2,107.0000
771,2,272.0000
1480,2,219.0000
1462,2,243.0000
916,2,142.0000
1043,2,46.0000
209,2,276.0000
1254,2,40.0000
460,2,76.0000
2115,2,116.0000
1123,2,200.0000
255,2,211.0000
45,2,77.0000
1533,2,389.0000
212,2,0.0000
1060,2,293.0000
1510,2,62.0000
527,2,136.0000
362,2,61.0000
869,2,43.0000
163,2,96.0000
1350,2,88.0000
749,2,236.0000
1231,2,153.0000
1042,2,163.0000
737,2,228.0000
1301,2,68.0000
1318,2,131.0000
1305,2,343.0000
1468,2,38.0000
634,2,222.0000
144,2,104.0000
858,2,170.0000
1244,2,83.0000
824,2,108.0000
1931,2,173.0000
465,2,188.0000
2011,2,197.0000
1507,2,104.0000
56,2,149.0000
1330,2,155.0000
645,2,134.0000
898,2,113.0000
339,2,148.0000
1133,2,221.0000
1929,2,158.0000
431,2,260.0000
1992,2,204.0000
1687,2,14445.0000
167,2,162.0000
1699,2,83.0000
1062,2,0.0000
1097,2,276.0000
486,2,92.0000
1955,2,53.0000
1101,2,111.0000
8,2,280.0000
1799,2,94.0000
1957,2,0.0000
663,2,116.0000
1107,2,48.0000
1785,2,59.0000
986,2,211.0000
2145,2,186.0000
630,2,330.0000
1820,2,268.0000
1644,2,136.0000
1790,2,304.0000
1276,2,0.0000
692,2,147.0000
1631,2,84.0000
303,2,82.0000
1878,2,99.0000
559,2,119.0000
1543,2,327.0000
474,2,130.0000
432,2,185.0000
1270,2,228.0000
1302,2,123.0000
26,2,0.0000
2228,2,215.0000
1775,2,89.0000
359,2,386.0000
1584,2,0.0000
1163,2,285.0000
95,2,294.0000
307,2,71.0000
897,2,263.0000
1032,2,0.0000
638,2,132.0000
270,2,137.0000
1719,2,57.0000
2105,2,238.0000
697,2,140.0000
1746,2,139.0000
1266,2,44.0000
1887,2,72.0000
125,2,182.0000
724,2,199.0000
1782,2,129.0000
2138,2,44.0000
1512,2,49.0000
786,2,273.0000
61,2,149.0000
997,2,144.0000
1819,2,138.0000
781,2,118.0000
84,2,197.0000
50,2,279.0000
1540,2,78.0000
2116,2,134.0000
425,2,199.0000
613,2,161.0000
1701,2,234.0000
998,2,45.0000
1091,2,190.0000
934,2,212.0000
2112,2,76.0000
2015,2,124.0000
1275,2,98.0000
732,2,238.0000
651,2,109.0000
1335,2,142.0000
766,2,82.0000
1554,2,43.0000
1683,2,259.0000
606,2,76.0000
590,2,130.0000
533,2,146.0000
554,2,291.0000
74,2,59.0000
2037,2,-88.0000
314,2,0.0000
410,2,173.0000
583,2,331.0000
521,2,305.0000
2164,2,0.0000
886,2,0.0000
1053,2,65.0000
1453,2,74.0000
509,2,244.0000
174,2,72.0000
628,2,192.0000
822,2,189.0000
553,2,61.0000
370,2,156.0000
910,2,235.0000
347,2,34.0000
1907,2,58.0000
175,2,51.0000
1509,2,93.0000
403,2,132.0000
296,2,127.0000
1478,2,109.0000
234,2,56.0000
734,2,14692.0000
617,2,209.0000
317,2,221.0000
407,2,226.0000
1642,2,217.0000
1029,2,66.0000
1534,2,128.0000
537,2,139.0000
894,2,149.0000
2068,2,37.0000
9,2,191.0000
135,2,61.0000
408,2,176.0000
1280,2,171.0000
1850,2,107.0000
120,2,442.0000
863,2,138.0000
149,2,14459.0000
1204,2,124.0000
705,2,221.0000
358,2,141.0000
2134,2,293.0000
825,2,53.0000
1678,2,96.0000
1158,2,170.0000
578,2,318.0000
115,2,161.0000
2189,2,217.0000
1296,2,149.0000
2073,2,137.0000
1334,2,123.0000
2119,2,127.0000
1196,2,44.0000
1243,2,146.0000
2140,2,359.0000
500,2,197.0000
1031,2,52.0000
1017,2,68.0000
1843,2,65.0000
419,2,84.0000
1673,2,197.0000
110,2,202.0000
1793,2,116.0000
282,2,0.0000
1676,2,95.0000
246,2,242.0000
1381,2,108.0000
1623,2,365.0000
178,2,125.0000
862,2,191.0000
1920,2,211.0000
1164,2,312.0000
1431,2,120.0000
1767,2,145.0000
1303,2,244.0000
1980,2,98.0000
954,2,197.0000
242,2,60.0000
2099,2,121.0000
787,2,280.0000
146,2,144.0000
429,2,151.0000
666,2,-303.0000
1735,2,262.0000
725,2,124.0000
1565,2,14511.0000
123,2,166.0000
348,2,131.0000
1000,2,42.0000
1269,2,58.0000
194,2,191.0000
70,2,94.0000
85,2,106.0000
1491,2,42.0000
946,2,77.0000
664,2,283.0000
631,2,130.0000
2046,2,368.0000
532,2,179.0000
2143,2,209.0000
2132,2,138.0000
570,2,119.0000
614,2,305.0000
217,2,122.0000
753,2,84.0000
534,2,143.0000
884,2,193.0000
1943,2,33.0000
1292,2,95.0000
1422,2,202.0000
1526,2,82.0000
503,2,0.0000
1294,2,132.0000
1766,2,41.0000
142,2,209.0000
261,2,128.0000
243,2,145.0000
435,2,0.0000
430,2,434.0000
1535,2,197.0000
520,2,30.0000
526,2,52.0000
929,2,37.0000
973,2,95.0000
1691,2,133.0000
1511,2,65.0000
1131,2,103.0000
706,2,55.0000
1150,2,174.0000
1551,2,37.0000
1160,2,118.0000
2174,2,41.0000
276,2,48.0000
695,2,0.0000
2091,2,122.0000
1942,2,59.0000
374,2,144.0000
1561,2,184.0000
1433,2,93.0000
802,2,165.0000
1282,2,310.0000
86,2,77.0000
1709,2,224.0000
118,2,169.0000
1544,2,0.0000
658,2,87.0000
1731,2,231.0000
1869,2,37.0000
159,2,270.0000
241,2,164.0000
17,2,186.0000
79,2,14548.0000
1272,2,91.0000
2154,2,180.0000
253,2,87.0000
450,2,87.0000
611,2,55.0000
1176,2,49.0000
472,2,51.0000
1056,2,63.0000
750,2,58.0000
1961,2,50.0000
1497,2,39.0000
978,2,76.0000
1521,2,148.0000
200,2,230.0000
669,2,181.0000
673,2,119.0000
1040,2,194.0000
1351,2,108.0000
877,2,82.0000
73,2,161.0000
2106,2,249.0000
1415,2,40.0000
1038,2,156.0000
1965,2,96.0000
853,2,77.0000
1607,2,42.0000
2078,2,76.0000
1745,2,0.0000
686,2,0.0000
1257,2,255.0000
1059,2,257.0000
31,2,191.0000
238,2,90.0000
1108,2,113.0000
976,2,179.0000
796,2,319.0000
113,2,50.0000
1279,2,86.0000
2031,2,86.0000
1697,2,72.0000
2072,2,140.0000
488,2,102.0000
974,2,107.0000
1764,2,53.0000
714,2,42.0000
1859,2,0.0000
456,2,125.0000
1727,2,82.0000
1556,2,170.0000
831,2,158.0000
1202,2,138.0000
1973,2,112.0000
1606,2,14497.0000
1048,2,104.0000
1138,2,234.0000
677,2,101.0000
601,2,123.0000
2153,2,133.0000
2087,2,138.0000
510,2,301.0000
875,2,107.0000
267,2,70.0000
1722,2,0.0000
803,2,268.0000
1194,2,56.0000
138,2,0.0000
699,2,234.0000
1914,2,143.0000
551,2,234.0000
1658,2,90.0000
164,2,202.0000
1979,2,148.0000
577,2,90.0000
1505,2,40.0000
1773,2,121.0000
1517,2,219.0000
373,2,53.0000
1229,2,0.0000
2201,2,71.0000
116,2,137.0000
1639,2,140.0000
1936,2,64.0000
188,2,162.0000
2019,2,118.0000
830,2,193.0000
1666,2,258.0000
1813,2,159.0000
2206,2,78.0000
1609,2,43.0000
421,2,56.0000
352,2,54.0000
1500,2,14496.0000
1089,2,201.0000
1581,2,184.0000
108,2,122.0000
1228,2,156.0000
2221,3,146.0000
701,3,217.0000
265,3,133.0000
473,3,69.0000
1846,3,258.0000
1962,3,58.0000
27,3,67.0000
1199,3,116.0000
629,3,0.0000
1624,3,0.0000
969,3,374.0000
610,3,-207.0000
878,3,367.0000
130,3,70.0000
1656,3,130.0000
160,3,251.0000
1019,3,81.0000
2002,3,0.0000
531,3,285.0000
813,3,151.0000
55,3,84.0000
483,3,160.0000
275,3,278.0000
1061,3,154.0000
507,3,151.0000
1222,3,128.0000
2095,3,396.0000
2207,3,160.0000
832,3,152.0000
2042,3,280.0000
1435,3,66.0000
508,3,64.0000
1287,3,220.0000
861,3,98.0000
1013,3,231.0000
453,3,177.0000
1487,3,450.0000
11,3,138.0000
335,3,92.0000
1034,3,0.0000
1781,3,320.0000
1120,3,485.0000
1090,3,181.0000
1232,3,394.0000
1539,3,389.0000
625,3,95.0000
670,3,92.0000
1824,3,243.0000
1412,3,199.0000
37,3,154.0000
151,3,291.0000
1659,3,191.0000
1789,3,181.0000
75,3,100.0000
755,3,272.0000
1877,3,209.0000
1792,3,319.0000
271,3,249.0000
2113,3,77.0000
633,3,130.0000
452,3,51.0000
2066,3,277.0000
1736,3,111.0000
600,3,243.0000
1753,3,0.0000
547,3,329.0000
1621,3,455.0000
514,3,126.0000
855,3,112.0000
1527,3,120.0000
2179,3,325.0000
1242,3,205.0000
1471,3,239.0000
2,3,201.0000
497,3,433.0000
1046,3,65.0000
1550,3,300.0000
1827,3,239.0000
2118,3,259.0000
2236,3,252.0000
274,3,401.0000
2137,3,103.0000
2131,3,80.0000
1188,3,268.0000
1132,3,170.0000
445,3,96.0000
1610,3,362.0000
1572,3,0.0000
575,3,48.0000
975,3,47.0000
733,3,121.0000
2231,3,160.0000
568,3,77.0000
90,3,355.0000
1811,3,170.0000
914,3,342.0000
250,3,357.0000
1135,3,231.0000
1759,3,201.0000
743,3,47.0000
937,3,180.0000
1055,3,296.0000
1388,3,205.0000
828,3,117.0000
1930,3,0.0000
1590,3,216.0000
1493,3,183.0000
1641,3,79.0000
1915,3,255.0000
155,3,123.0000
2156,3,300.0000
650,3,69.0000
1213,3,231.0000
1778,3,254.0000
1912,3,201.0000
83,3,48.0000
936,3,57.0000
2022,3,135.0000
2027,3,211.0000
1024,3,116.0000
722,3,63.0000
1715,3,199.0000
1839,3,191.0000
277,3,193.0000
769,3,121.0000
2211,3,56.0000
1072,3,53.0000
2057,3,37.0000
889,3,377.0000
1464,3,235.0000
1249,3,46.0000
0,3,309.0000
1241,3,183.0000
895,3,189.0000
89,3,115.0000
1141,3,370.0000
